,trace,Cache_policy,repl,ipc,hit,miss,size
91,cadical-high-60K-1227B.champsimtrace.xz,I,lru,0.198714,1162260,684258,3
92,cadical-high-60K-1227B.champsimtrace.xz,I,lfu,0.187476,994444,754015,3
93,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lfu,0.34387,575174,278841,3
94,cadical-high-60K-134B.champsimtrace.xz,N,rand,0.206017,837471,1046260,3
95,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lru,0.343553,267482,545989,3
96,cadical-high-60K-1227B.champsimtrace.xz,E,lru,0.195294,510423,1192081,3
97,cadical-high-60K-1227B.champsimtrace.xz,E,lfu,0.1677,134428,1192103,3
98,cadical-high-60K-134B.champsimtrace.xz,E,lfu,0.183867,72251,1227878,3
99,cadical-high-60K-1227B.champsimtrace.xz,E,rand,0.178989,284190,1192045,3
100,kissat-inc-high-30K-1802B.champsimtrace.xz,E,lfu,0.324471,161640,545989,3
101,cadical-high-60K-1227B.champsimtrace.xz,I,fifo,0.196069,1124580,720843,3
102,cadical-high-60K-134B.champsimtrace.xz,E,lru,0.212296,412305,1227868,3
103,cadical-high-60K-1227B.champsimtrace.xz,N,lru,0.198947,1160177,684256,3
104,cadical-high-60K-134B.champsimtrace.xz,N,lru,0.214434,1061794,821834,3
105,cadical-high-60K-1227B.champsimtrace.xz,E,fifo,0.194392,464504,1192081,3
106,cadical-high-60K-134B.champsimtrace.xz,I,rand,0.20599,865435,905964,3
107,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lfu,0.344105,572587,283513,3
108,cadical-high-60K-134B.champsimtrace.xz,E,fifo,0.227525,554360,1227867,4
109,cadical-high-60K-134B.champsimtrace.xz,I,fifo,0.228512,1214107,671634,4
110,kissat-inc-high-30K-1802B.champsimtrace.xz,I,rand,0.344096,580984,276742,4
111,cadical-high-60K-1227B.champsimtrace.xz,I,rand,0.226155,1333464,512982,4
112,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lru,0.344721,581150,276742,4
113,kissat-inc-high-30K-1802B.champsimtrace.xz,N,lru,0.344941,579359,276742,4
114,cadical-high-60K-1227B.champsimtrace.xz,N,fifo,0.227224,1331451,512982,4
115,kissat-inc-high-30K-1802B.champsimtrace.xz,I,fifo,0.344721,581150,276742,4
116,cadical-high-60K-134B.champsimtrace.xz,N,fifo,0.228816,1211991,671635,4
117,kissat-inc-high-30K-1802B.champsimtrace.xz,N,fifo,0.344941,579359,276742,4
118,cadical-high-60K-134B.champsimtrace.xz,E,rand,0.22591,544494,1227803,4
119,kissat-inc-high-30K-1802B.champsimtrace.xz,N,rand,0.344229,579156,276742,4
120,cadical-high-60K-134B.champsimtrace.xz,I,lfu,0.228513,1214112,671630,4
121,cadical-high-60K-1227B.champsimtrace.xz,N,rand,0.225708,1331298,512984,4
122,cadical-high-60K-134B.champsimtrace.xz,N,lfu,0.228818,1211996,671630,4
123,cadical-high-60K-134B.champsimtrace.xz,I,lru,0.228513,1214110,671632,4
124,kissat-inc-high-30K-1802B.champsimtrace.xz,E,fifo,0.344926,269238,545989,4
125,kissat-inc-high-30K-1802B.champsimtrace.xz,E,rand,0.343928,268844,545970,4
126,cadical-high-60K-1227B.champsimtrace.xz,N,lfu,0.227222,1331447,512986,4
127,cadical-high-60K-1227B.champsimtrace.xz,I,lru,0.226908,1333504,513010,4
128,cadical-high-60K-1227B.champsimtrace.xz,I,lfu,0.226913,1333528,512986,4
129,kissat-inc-high-30K-1802B.champsimtrace.xz,I,lfu,0.344721,581150,276742,4
